,0,1,clean nationality abbreviation
0,MY,,MY
1,SG,SG,SG
2,SG,SG,SG
3,SG,SG,SG
4,SG,PH,PH
5,MY,Malaysia,MY
6,SG,SGP,SG
7,SG,MY,MY
8,SG,SG,SG
9,SG,CN,CN
10,SG,SG,SG
11,SG,,SG
12,SG,MY,MY
13,SG,SG,SG
14,SG,SG,SG
15,MY,Malaysia,MY
16,MY,Malaysia,MY
17,SG,SG,SG
18,SG,SG,SG
19,SG,SG,SG
20,SG,SG,SG
21,SG,PH,PH
22,MY,Malaysia,MY
23,SG,SG,SG
24,MY,MY,MY
25,SG,SG,SG
26,HK,,HK
27,SG,SGP,SG
28,SG,IN,IN
29,HK,Hong Kong,HK
30,MY,Malaysian,MY
31,MY,MY,MY
32,SG,SG,SG
33,SG,,SG
34,MY,MY,MY
35,SG,PH,PH
36,SG,PH,PH
37,MY,Malaysia,MY
38,MY,Malay,MY
39,SG,ID,ID
40,HK,,HK
41,HK,Chinese,CN
42,SG,SG,SG
43,SG,IN,IN
44,TH,Thailand,TH
45,MY,Malaysia,MY
46,SG,SG,SG
47,SG,,SG
48,SG,MY,MY
49,SG,SG,SG
50,SG,TW,TW
51,MY,MY,MY
52,MY,,MY
53,SG,SG,SG
54,MY,,MY
55,SG,SG,SG
56,SG,SG,SG
57,SG,SG,SG
58,SG,SG,SG
59,MY,Malaysia,MY
60,SG,SG,SG
61,SG,SG,SG
62,SG,SG,SG
63,MY,MY,MY
64,SG,LK,LK
65,SG,SG,SG
66,SG,SG,SG
67,SG,MY,MY
68,MY,MY,MY
69,SG,,SG
70,SG,SG,SG
71,MY,,MY
72,SG,MY,MY
73,SG,,SG
74,SG,SG,SG
75,MY,,MY
76,MY,MY,MY
77,SG,SG,SG
78,SG,CN,CN
79,SG,,SG
80,MY,Malaysia,MY
81,MY,,MY
82,SG,SG,SG
83,SG,SG,SG
84,MY,,MY
85,SG,KA,SG
86,MY,MY,MY
87,SG,SG,SG
88,SG,LK,LK
89,SG,SG,SG
90,SG,PHL,PH
91,SG,PHL,PH
92,SG,SG,SG
93,SG,SG,SG
94,SG,SG,SG
95,MY,,MY
96,MY,,MY
97,SG,SG,SG
98,MY,Malaysia,MY
99,SG,SG,SG
100,MY,,MY
101,SG,SG,SG
102,SG,SG,SG
103,MY,Malaysia,MY
104,SG,PH,PH
105,SG,SG,SG
106,MY,MALAYSIAN ,MY
107,SG,SG,SG
108,SG,SG,SG
109,SG,SG,SG
110,MY,,MY
111,SG,SG,SG
112,SG,MYS,MY
113,MY,,MY
114,MY,MY,MY
115,SG,BU,BG
116,SG,SG,SG
117,SG,SG,SG
118,SG,TWN,TW
119,MY,MALAYSIAN,MY
120,SG,SG,SG
121,MY,Malaysia,MY
122,SG,SG,SG
123,MY,Malaysian,MY
124,MY,MY,MY
125,SG,SG,SG
126,SG,SG,SG
127,SG,SG,SG
128,SG,SG,SG
129,MY,,MY
130,SG,SG,SG
131,SG,CN,CN
132,SG,SG,SG
133,SG,SG,SG
134,MY,,MY
135,MY,MY,MY
136,SG,SG,SG
137,SG,SG,SG
138,SG,SG,SG
139,SG,SG,SG
140,SG,SG,SG
141,SG,SG,SG
142,MY,,MY
143,SG,SGP,SG
144,MY,Malaysia,MY
145,SG,SG,SG
146,SG,SG,SG
147,MY,,MY
148,MY,MY,MY
149,SG,SG,SG
150,MY,,MY
151,HK,HK,HK
152,MY,,MY
153,SG,SG,SG
154,SG,SG,SG
155,SG,CN,CN
156,SG,ID,ID
157,MY,,MY
158,MY,Malaysia,MY
159,MY,MY,MY
160,SG,SG,SG
161,MY,,MY
162,SG,SG,SG
163,MY,,MY
164,SG,SG,SG
165,MY,MY,MY
166,SG,SG,SG
167,MY,MY,MY
168,SG,AU,AU
169,SG,MY,MY
170,SG,SG,SG
171,SG,SG,SG
172,MY,,MY
173,SG,,SG
174,MY,,MY
175,MY,Malaysia,MY
176,SG,PH,PH
177,SG,PH,PH
178,HK,HK,HK
179,SG,SG,SG
180,MY,,MY
181,SG,SG,SG
182,MY,MY,MY
183,SG,SG,SG
184,SG,SGP,SG
185,SG,SG,SG
186,MY,MY,MY
187,MY,,MY
188,SG,SG,SG
189,SG,SG,SG
190,SG,SGP,SG
191,MY,,MY
192,SG,BU,BG
193,SG,SG,SG
194,SG,SG,SG
195,MY,,MY
196,MY,Malaysia,MY
197,SG,,SG
198,SG,SG,SG
199,SG,SG,SG
200,SG,,SG
201,SG,IN,IN
202,SG,SG,SG
203,SG,,SG
204,MY,,MY
205,MY,MY,MY
206,SG,SGP,SG
207,SG,,SG
208,SG,SG,SG
209,MY,,MY
210,MY,MY,MY
211,MY,,MY
212,MY,Malaysian,MY
213,MY,MY,MY
214,SG,SG,SG
215,SG,SG,SG
216,SG,SG,SG
217,MY,MY,MY
218,SG,IDN,ID
219,SG,SG,SG
220,SG,SG,SG
221,MY,,MY
222,SG,SG,SG
223,SG,IN,IN
224,MY,MY,MY
225,MY,,MY
226,SG,,SG
227,SG,MY,MY
228,SG,SG,SG
229,SG,SG,SG
230,SG,SG,SG
231,SG,SG,SG
232,SG,SG,SG
233,MY,malaysia,MY
234,MY,MALAYSIA,MY
235,SG,SG,SG
236,SG,SG,SG
237,MY,MY,MY
238,SG,MY,MY
239,MY,,MY
240,HK,Hong Kong,HK
241,SG,SG,SG
242,SG,IN,IN
243,SG,MY,MY
244,SG,SG,SG
245,SG,,SG
246,SG,CN,CN
247,MY,Malaysia,MY
248,SG,SG,SG
249,MY,,MY
250,SG,PH,PH
251,SG,AU,AU
252,HK,Hong kong,HK
253,SG,SG,SG
254,HK,,HK
255,MY,MY,MY
256,SG,,SG
257,SG,SG,SG
258,SG,SG,SG
259,SG,SG,SG
260,SG,,SG
261,MY,Malaysia,MY
262,MY,MALAYSIA,MY
263,SG,,SG
264,MY,MY,MY
265,SG,SG,SG
266,SG,SG,SG
267,SG,SG,SG
268,MY,Malaysia,MY
269,HK,,HK
270,MY,,MY
271,SG,PH,PH
272,MY,MALAYSIAN,MY
273,SG,IN,IN
274,MY,MY,MY
275,SG,SG,SG
276,MY,Malaysia,MY
277,SG,SG,SG
278,SG,,SG
279,MY,Malaysia,MY
280,SG,MY,MY
281,SG,IN,IN
282,MY,,MY
283,HK,Hong kong,HK
284,SG,SG,SG
285,MY,Malaysia,MY
286,SG,MY,MY
287,SG,SG,SG
288,SG,PH,PH
289,MY,,MY
290,MY,,MY
291,MY,MY,MY
292,SG,PHL,PH
293,MY,Malaysian,MY
294,MY,MY,MY
295,SG,SG,SG
296,SG,SG,SG
297,MY,Malaysia,MY
298,SG,,SG
299,MY,,MY
300,MY,MY,MY
301,MY,malaysian,MY
302,MY,malaysia,MY
303,MY,Malaysia,MY
304,SG,ID,ID
305,SG,SG,SG
306,SG,,SG
307,MY,MY,MY
308,MY,,MY
309,MY,MY,MY
310,SG,SG,SG
311,MY,MY,MY
312,MY,Malaysia,MY
313,SG,SG,SG
314,MY,Malaysia,MY
315,MY,MY,MY
316,MY,MY,MY
317,SG,SG,SG
318,MY,MY,MY
319,MY,MY,MY
320,SG,GG,GG
321,MY,MY,MY
322,SG,SG,SG
323,SG,MY,MY
324,SG,SG,SG
325,MY,MY,MY
326,SG,,SG
327,SG,MY,MY
328,HK,Hong Kong,HK
329,MY,Malaysian ,MY
330,HK,Hong Kong,HK
331,MY,,MY
332,SG,SG,SG
333,SG,SG,SG
334,MY,MY,MY
335,MY,,MY
336,SG,SG,SG
337,SG,SG,SG
338,SG,SG,SG
339,SG,SG,SG
340,MY,MY,MY
341,MY,,MY
342,SG,SG,SG
343,MY,MY,MY
344,MY,,MY
345,SG,SG,SG
346,SG,Singapore,SG
347,SG,VNM,VN
348,SG,SG,SG
